"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2020-02-14","81.185","81.495","80.7125","81.2375","80.3555","80113600","59.3403","75.2302","79.7919","80.8364"
"2020-02-18","78.84","79.9375","78.6525","79.75","78.8842","152531200","59.4776","75.5165","79.8367","80.6146"
"2020-02-19","80","81.1425","80","80.905","80.0266","93984000","59.6175","75.8067","79.8949","80.7429"
"2020-02-20","80.6575","81.1625","79.5525","80.075","79.2057","100566000","59.7573","76.0547","79.9393","80.6982"
"2020-02-21","79.655","80.1125","77.625","78.2625","77.4128","129554000","59.895","76.2853","79.8839","80.4639"
"2020-02-24","74.315","76.045","72.3075","74.545","73.7357","222195200","60.0141","76.4339","79.6333","79.4275"
"2020-02-25","75.2375","75.6325","71.5325","72.02","71.2381","230673600","60.1233","76.5204","79.2735","78.1136"
"2020-02-26","71.6325","74.47","71.625","73.1625","72.3682","198054800","60.2426","76.6264","79.0794","76.96"
"2020-02-27","70.275","71.5","68.24","68.38","67.6376","320605600","60.3524","76.6182","78.5536","75.3357"
"2020-02-28","64.315","69.6025","64.0925","68.34","67.5981","426510000","60.4583","76.5857","77.9467","73.5407"
"2020-03-02","70.57","75.36","69.43","74.7025","73.8915","341397200","60.5931","76.6777","77.6483","72.7732"
"2020-03-03","75.9175","76","71.45","72.33","71.5447","319475600","60.7172","76.7256","77.408","71.9257"
"2020-03-04","74.11","75.85","73.2825","75.685","74.8633","219178400","60.8593","76.8392","77.3375","72.0886"
"2020-03-05","73.88","74.8875","72.8525","73.23","72.435","187572800","60.9966","76.9066","77.0288","72.2614"
"2020-03-06","70.5","72.705","70.3075","72.2575","71.473","226176800","61.1247","76.9317","76.6429","72.1321"
"2020-03-09","65.9375","69.5225","65.75","66.5425","65.8201","286744800","61.2289","76.8412","75.94","71.8696"
"2020-03-10","69.285","71.61","67.3425","71.335","70.5605","285290000","61.361","76.8184","75.527","72.2975"
"2020-03-11","69.3475","70.305","67.965","68.8575","68.1099","255598800","61.4816","76.7466","74.978","71.4625"
"2020-03-12","63.985","67.5","62","62.0575","61.3838","418474000","61.5691","76.5301","74.1282","69.995"
"2020-03-13","66.2225","69.98","63.2375","69.4925","68.738","370732000","61.6948","76.4517","73.5421","69.1104"
"2020-03-16","60.4875","64.77","60","60.5525","59.8951","322423600","61.7747","76.161","72.5581","67.2993"
"2020-03-17","61.8775","64.4025","59.6","63.215","62.5287","324056000","61.8719","75.9381","71.6999","66.0075"
"2020-03-18","59.9425","62.5","59.28","61.6675","60.998","300233600","61.9637","75.6725","70.8388","65.3111"
"2020-03-19","61.8475","63.21","60.6525","61.195","60.5306","271857200","62.0451","75.4044","69.9002","63.8625"
"2020-03-20","61.795","62.9575","57","57.31","56.6878","401693200","62.1035","75.0347","68.8162","62.2129"
"2020-03-23","57.02","57.125","53.1525","56.0925","55.4835","336752800","62.1524","74.6084","67.7605","61.3607"
"2020-03-24","59.09","61.9225","58.575","61.72","61.0499","287531200","62.2233","74.2912","67.1498","60.2504"
"2020-03-25","62.6875","64.5625","61.075","61.38","60.7136","303602000","62.2895","73.934","66.6431","60.3686"
"2020-03-26","61.63","64.67","61.59","64.61","63.9086","252087200","62.369","73.6628","66.2358","60.5679"
"2020-03-27","63.1875","63.9675","61.7625","61.935","61.2626","204216800","62.436","73.3447","65.9289","60.6061"
"2020-03-30","62.685","63.88","62.35","63.7025","63.0109","167976400","62.5118","73.0426","65.7081","60.9643"
"2020-03-31","63.9","65.6225","63","63.5725","62.8823","197002000","62.5887","72.7204","65.1781","61.8589"
"2020-04-01","61.625","62.18","59.7825","60.2275","59.5736","176218400","62.6475","72.3421","64.6018","62.4496"
"2020-04-02","60.085","61.2875","59.225","61.2325","60.5677","165934000","62.7056","71.9782","63.9136","62.38"
"2020-04-03","60.7","61.425","59.7425","60.3525","59.6973","129880000","62.76","71.5891","63.3004","62.2332"
"2020-04-06","62.725","65.7775","62.345","65.6175","64.9051","201820400","62.8388","71.31","62.9842","62.3771"
"2020-04-07","67.7","67.925","64.75","64.8575","64.1534","202887200","62.9146","71.0623","62.9039","62.7946"
"2020-04-08","65.685","66.8425","65.3075","66.5175","65.7953","168895200","62.999","70.8043","62.6745","63.1968"
"2020-04-09","67.175","67.5175","66.175","66.9975","66.2701","161834800","63.0895","70.5225","62.586","63.6861"
"2020-04-13","67.0775","68.425","66.4575","68.3125","67.5709","131022800","63.1813","70.2694","62.8838","64.8411"
