"date","open","high","low","close","adj_close","volume"
"2007-12-06",6.64964,6.78929,6.64714,6.78393,5.80038,899810800
"2007-12-07",6.805,6.96393,6.71571,6.93929,5.93321,1066066400
"2007-12-10",6.91393,6.98786,6.88179,6.93607,5.93047,722377600
"2007-12-11",6.95536,7.02964,6.6925,6.73357,5.75732,1110925200
"2007-12-12",6.90857,6.94571,6.63429,6.81643,5.82817,1225660800
"2007-12-13",6.7925,6.86143,6.70786,6.85107,5.85779,864617600
"2007-12-14",6.79893,6.9,6.76929,6.79964,5.81382,674312800
"2007-12-17",6.81143,6.88036,6.535,6.58571,5.6309,1024693600
"2007-12-18",6.66143,6.69036,6.37857,6.535,5.58754,1222603200
"2007-12-19",6.535,6.59429,6.46071,6.54,5.59182,827478400
"2007-12-20",6.6225,6.70821,6.5475,6.68607,5.71671,774057200
"2007-12-21",6.79,6.92536,6.78179,6.92536,5.92131,993960800
"2007-12-24",6.96536,7.11893,6.95679,7.1,6.07063,480202800
"2007-12-26",7.1075,7.17714,7.02929,7.10536,6.07521,703732400
"2007-12-27",7.10536,7.24857,7.06429,7.09179,6.0636,795527600
"2007-12-28",7.16393,7.19857,7.03143,7.13679,6.10208,699647200
"2007-12-31",7.125,7.16071,7.0625,7.07429,6.04864,539333200
"2008-01-02",7.11679,7.15214,6.87679,6.95857,5.9497,1079178800
"2008-01-03",6.97893,7.04964,6.88179,6.96179,5.95245,842066400
"2008-01-04",6.8375,6.89286,6.38893,6.43036,5.49807,1455832000
"2008-01-07",6.47321,6.55714,6.07964,6.34429,5.42448,2072193200
"2008-01-08",6.43357,6.51643,6.1,6.11607,5.22935,1523816000
"2008-01-09",6.11786,6.41071,6.01071,6.40714,5.47822,1813882000
"2008-01-10",6.34214,6.46429,6.26464,6.35786,5.43608,1482975200
"2008-01-11",6.28571,6.35179,6.07143,6.1675,5.27332,1232285600
"2008-01-14",6.34,6.40786,6.25607,6.385,5.45929,1100450400
"2008-01-15",6.34714,6.40071,5.88071,6.03714,5.16187,2343278000
"2008-01-16",5.90107,6.03607,5.59643,5.70143,4.87483,2213845200
"2008-01-17",5.76821,5.90571,5.65786,5.74607,4.91299,1757859600
"2008-01-18",5.77536,5.91964,5.70036,5.76286,4.92734,1724343600
"2008-01-22",5.28786,5.71357,5.21429,5.55857,4.75268,2434754000
"2008-01-23",4.86393,5,4.505,4.96679,4.24669,3372969600
"2008-01-24",4.99964,5.025,4.71464,4.84286,4.14073,2005866800
"2008-01-25",4.96393,4.9675,4.62893,4.64321,3.97003,1554739200
"2008-01-28",4.57714,4.75714,4.51607,4.64321,3.97003,1474844000
"2008-01-29",4.68393,4.7425,4.60893,4.69786,4.01675,1099982800
"2008-01-30",4.69179,4.8375,4.64286,4.72071,4.03629,1243051600
"2008-01-31",4.62321,4.88036,4.62143,4.83429,4.1334,1345674400
"2008-02-01",4.86571,4.87821,4.72071,4.77679,4.08424,1010744000
"2008-02-04",4.79321,4.85357,4.69357,4.70179,4.02011,899234000
"2008-02-05",4.65821,4.78571,4.60357,4.62,3.95018,1141042000
"2008-02-06",4.6725,4.71143,4.34893,4.35714,3.72543,1573272400
"2008-02-07",4.28464,4.45643,4.18821,4.33,3.70223,2083331600
"2008-02-08",4.36,4.48929,4.34286,4.48143,3.8317,1355972800
"2008-02-11",4.57179,4.64214,4.54286,4.62321,3.95293,1201432400
"2008-02-12",4.66786,4.67857,4.415,4.45929,3.81277,1225980000
"2008-02-13",4.52429,4.635,4.48679,4.62143,3.95141,968534000
"2008-02-14",4.62143,4.67143,4.53607,4.55214,3.89216,954097200
"2008-02-15",4.50964,4.53857,4.43071,4.45107,3.80574,901300400
"2008-02-19",4.49964,4.52679,4.33714,4.36357,3.73093,1005046000
"2008-02-20",4.36429,4.45,4.34571,4.42214,3.78101,967439200
"2008-02-21",4.50179,4.51679,4.31643,4.34071,3.71139,938114800
"2008-02-22",4.37429,4.37536,4.13821,4.26643,3.64787,1529878000
"2008-02-25",4.23536,4.29179,4.16643,4.27643,3.65642,1256774400
"2008-02-26",4.20143,4.32464,4.12286,4.25536,3.63841,1504888000
"2008-02-27",4.2225,4.39464,4.2175,4.39143,3.75475,1475138000
"2008-02-28",4.54286,4.72143,4.49179,4.63964,3.96698,1618254400
"2008-02-29",4.6175,4.65036,4.45714,4.465,3.81765,1255480800
"2008-03-03",4.44429,4.49929,4.21429,4.3475,3.71719,1593043200
"2008-03-04",4.35679,4.46,4.3,4.45071,3.80544,1785383600
"2008-03-05",4.41357,4.46929,4.36607,4.44607,3.80147,1221836000
"2008-03-06",4.45036,4.55357,4.31464,4.31893,3.69276,1473698800
"2008-03-07",4.30036,4.39214,4.25179,4.36607,3.73307,1230462800
"2008-03-10",4.35643,4.40929,4.26321,4.27464,3.6549,999588800
"2008-03-11",4.43214,4.55286,4.35714,4.54821,3.8888,1163943200
"2008-03-12",4.53714,4.59571,4.47036,4.50107,3.8485,1059629200
"2008-03-13",4.43214,4.625,4.39286,4.56929,3.90682,1262102800
"2008-03-14",4.63857,4.65357,4.43571,4.52179,3.86621,1156640800
"2008-03-17",4.37679,4.5925,4.37679,4.52607,3.86987,1072598800
"2008-03-18",4.61357,4.75,4.59536,4.74357,4.05584,1205120000
"2008-03-19",4.75429,4.79607,4.63107,4.63107,3.95965,1010536800
"2008-03-20",4.68286,4.76036,4.61357,4.75964,4.06958,908787600
"2008-03-24",4.78607,5.03036,4.77286,4.98321,4.26074,1066920400
"2008-03-25",4.99857,5.11071,4.90464,5.035,4.30502,1052391200
"2008-03-26",5.03107,5.205,5.02286,5.18071,4.42961,1182084400
"2008-03-27",5.17679,5.18964,4.99964,5.00893,4.28272,999829600
"2008-03-28",5.06429,5.16607,5.05714,5.1075,4.367,714610400
"2008-03-31",5.11679,5.20393,5.09,5.125,4.38197,768065200
"2008-04-01",5.225,5.345,5.12893,5.34036,4.5661,1032567200
"2008-04-02",5.31357,5.4,5.20893,5.2675,4.50381,1044968400
"2008-04-03",5.25214,5.48679,5.25,5.41464,4.62962,1051568000
"2008-04-04",5.43536,5.52536,5.38393,5.46714,4.67451,854417200
"2008-04-07",5.57607,5.70321,5.53964,5.5675,4.76031,1158326400
"2008-04-08",5.48393,5.5875,5.44,5.45857,4.66718,1014294400
"2008-04-09",5.47536,5.49607,5.37357,5.40857,4.62442,873398400
